"id";"website_id";"word"
1;1;"test_word"
2;2;"2test_word"
3;3;"3test_word"
4;4;"4test_word"
5;4;"4test_word"
6;0;"allertal"
7;0;"eg"
8;0;"ltbody"
9;0;"bgcolorffffffgt"
10;0;"immobilien"
11;0;"ltbodygt"
12;0;"willkommen"
13;0;"ltpgtltpgt"
14;0;"herzlich"
15;1;"im"
16;1;"schülerinnen"
17;1;"firma"
18;1;"besucht"
19;1;"köche"
20;1;"mitarbeitern"
21;1;"banane"
22;1;"isst"
23;1;"schulcatering"
24;1;"gerade"
25;1;"initiator"
26;1;"mensen"
27;1;"meinung"
28;1;"gesunde"
29;1;"ausbildung"
30;1;"drauf"
31;1;"nur"
32;1;"geht"
33;1;"2"
34;1;"bestätigt"
35;1;"behinderungen"
36;1;"motivation"
37;1;"lernschwächen"
38;1;"anliegen"
39;1;"unserer"
40;1;"erste"
41;1;"arbeitsplatz"
42;1;"chance"
43;1;"verstehen"
44;1;"kunden"
45;1;"zufriedenheit"
46;1;"stärke"
47;1;"wichtigste"
48;1;"mandel"
49;1;"andre"
50;1;"engagieren"
51;1;"befragt"
52;1;"geschäftsführer"
53;1;"persönlich"
54;1;"küchenleiter"
55;1;"niedersächsischen"
56;1;"schulspeisung"
57;1;"seinen"
58;1;"mittagessen"
59;1;"bleibt"
60;1;"betriebliche"
61;1;"integrationsbetrieb"
62;1;"besser"
63;1;"unsere"
64;1;"menschen"
65;1;"regelmäßig"
66;1;"alles"
67;1;"erfolg"
68;1;"beiköche"
69;1;"vollwertiger"
70;1;"home"
71;1;"ist"
72;1;"festen"
73;1;"wettbewerb"
74;1;"zubereitung"
75;1;"wer"
76;1;"platz"
77;1;"gemeinnützige"
78;1;"haben"
79;1;"mittagsgerichte"
80;1;"werden"
81;1;"kennt"
82;1;"nicht"
83;1;"wichtig"
84;1;"gmbh"
85;1;"ausgebildet"
86;1;"gesunder"
87;1;"tischreihen"
88;2;"bewirtschaftung"
89;2;"wer"
90;2;"rund"
91;2;"liegen"
92;2;"zeigen"
93;2;"aussehen"
94;2;"sauberkeit"
95;2;"polsterreinigung"
